Date,I0,I3,I5
3/29/2022,31.55,30.6,31.87
3/30/2022,31.05,31.03,32.27
3/31/2022,31.1,31.23,32.1
4/1/2022,31.7,31.03,32.23
4/2/2022,30.45,30.53,32.67
4/3/2022,31.55,31.7,32.93
4/4/2022,31.25,32.03,33.03
4/5/2022,32.2,31.97,32.87
4/6/2022,31.3,31.73,32.07
4/7/2022,31.55,31.6,32.1
4/8/2022,31.6,32.1,32.37
4/9/2022,31.15,31.33,32.33
4/10/2022,30.9,31.07,31.9
4/11/2022,30.75,30.47,31.2
4/12/2022,31.6,30.9,31.07
4/13/2022,32.85,30.77,31.77
4/14/2022,32.4,31.43,32
4/15/2022,32.5,32.07,31.87
4/16/2022,31.4,32.4,32.17
4/17/2022,31.8,31.5,31.3
4/18/2022,32.65,31.27,31.53
4/19/2022,30.8,31.43,31.47
4/20/2022,30.65,32.37,32.27
4/21/2022,31.15,32.97,32.37
4/22/2022,30.85,32.13,32.47
4/23/2022,31.75,32.2,32.9
4/24/2022,31.75,32.83,32.9
4/25/2022,32,33,33.17
4/26/2022,31.4,32,32.1
4/27/2022,32.05,31.93,32.1
4/28/2022,32.1,32.17,32.53
4/29/2022,29.7,31.2,31.03
4/30/2022,31.55,30.6,31.87
5/1/2022,31.05,31.03,32.27
5/2/2022,31.1,31.23,32.1
5/3/2022,31.7,31.03,32.23
5/4/2022,30.45,30.53,32.67
5/5/2022,31.55,31.7,32.93
5/6/2022,31.25,32.03,33.03
5/7/2022,32.2,31.97,32.87
5/8/2022,31.3,31.73,32.07
5/9/2022,31.55,31.6,32.1
5/10/2022,31.6,32.1,32.37
5/11/2022,31.15,31.33,32.33
5/12/2022,30.9,31.07,31.9
5/13/2022,30.75,30.47,31.2
5/14/2022,31.6,30.9,31.07
5/15/2022,32.85,30.77,31.77
5/16/2022,32.4,31.43,32
5/17/2022,32.5,32.07,31.87
5/18/2022,31.4,32.4,32.17
5/19/2022,31.8,31.5,31.3
5/20/2022,32.65,31.27,31.53
5/21/2022,30.8,31.43,31.47
5/22/2022,30.65,32.37,32.27
5/23/2022,31.15,32.97,32.37
5/24/2022,30.85,32.13,32.47
5/25/2022,31.75,32.2,32.9
5/26/2022,31.75,32.83,32.9
5/27/2022,32,33,33.17
5/28/2022,31.4,32,32.1
5/29/2022,32.05,31.93,32.1
5/30/2022,32.1,32.17,32.53
5/31/2022,29.7,31.2,31.03
6/1/2022,31.55,30.6,31.87
6/2/2022,31.05,31.03,32.27
6/3/2022,31.1,31.23,32.1
6/4/2022,31.7,31.03,32.23
6/5/2022,30.45,30.53,32.67
6/6/2022,31.55,31.7,32.93
6/7/2022,31.25,32.03,33.03
6/8/2022,32.2,31.97,32.87
6/9/2022,31.3,31.73,32.07
6/10/2022,31.55,31.6,32.1
